customer_id,subscription_type,monthly_revenue,tenure_months,churn_probability,primary_driver,churn_archetype,archetype_name,action,action_code,channel,urgency,expected_conversion_rate,action_cost_usd,expected_revenue_saved,campaign_roi,clv,clv_tier,customer_health_score,retention_risk_score
CUST-000722,Starter,41.01,17,0.9268776611306913,days_since_last_login,A,The Ghost,Re-Engagement Push Notification,PUSH_REENGAGEMENT,push + sms,high,0.15,0.1,68.42,683.2,3.21,Low,0.663410352493623,0.2189075770076524
CUST-001600,Business,513.9,71,0.9234080867753722,customer_health_score,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,455.56,910.12,42.24,Low,0.6569182462500006,0.21669810449999927
CUST-001896,Business,636.81,2,0.9160068000803819,customer_health_score,A,The Ghost,Re-Engagement Push Notification,PUSH_REENGAGEMENT,push + sms,high,0.15,0.1,1049.98,10498.8,57.87,Low,0.6534547133722913,0.2191876772865838
CUST-000668,Starter,48.54,1,0.9154786117620035,retention_risk_score,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,42.66,84.32,4.44,Low,0.684234261804408,0.19391888583471037
CUST-001771,Professional,144.68,1,0.9128344782856302,days_since_last_login,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,126.79,252.58,13.69,Low,0.6902250038567497,0.1883966620385671
CUST-001925,Business,506.67,20,0.9118991826057617,customer_health_score,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,443.55,886.1,48.51,Low,0.6520852468359378,0.23083103713020792
CUST-001204,Starter,51.61,9,0.9089084590872077,days_since_last_login,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,45.03,89.06,5.13,Low,0.7093904166666667,0.1670648333333333
CUST-001953,Professional,144.14,10,0.9072198880567354,retention_risk_score,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,125.54,250.08,14.61,Low,0.701843,0.1727884
CUST-001696,Starter,61.23,10,0.905900163804548,days_since_last_login,A,The Ghost,Re-Engagement Push Notification,PUSH_REENGAGEMENT,push + sms,high,0.15,0.1,99.84,997.4,6.3,Low,0.6820687450000006,0.19651750599999934
CUST-000277,Business,795.87,52,0.9043606180803369,days_since_last_login,B,Frustrated Professional,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,690.96,1380.92,83.4,Low,0.6996303609499079,0.17877690019344383
CUST-001825,Professional,118.2,12,0.9036705872083834,days_since_last_login,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,102.54,204.08,12.48,Low,0.6988099166666666,0.1830947666666667
CUST-000461,Starter,76.11,6,0.9027475117379591,retention_risk_score,B,Frustrated Professional,Priority Support & CS Outreach,CS_PRIORITY_OUTREACH,phone + email,critical,0.28,25.0,230.86,8.23,8.12,Low,0.5810950857560021,0.3143525637594643
CUST-001064,Professional,198.28,12,0.9024046505263302,customer_health_score,A,The Ghost,Re-Engagement Push Notification,PUSH_REENGAGEMENT,push + sms,high,0.15,0.1,322.07,3219.7,21.25,Low,0.6462215227763606,0.22786750600170058
CUST-001458,Professional,225.82,35,0.9012608523763856,customer_health_score,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,195.38,389.76,24.51,Low,0.6680536538435375,0.2000022820544216
CUST-000151,Enterprise,4858.58,2,0.8988084372044779,days_since_last_login,A,The Ghost,Re-Engagement Push Notification,PUSH_REENGAGEMENT,push + sms,high,0.15,0.1,7860.48,78603.8,541.97,Medium,0.6883293419319731,0.19067145634829896
CUST-000412,Enterprise,3630.04,22,0.8974778151610557,retention_risk_score,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,3127.57,6254.14,410.86,Low,0.6663077492089844,0.203764034282552
CUST-001355,Professional,258.39,1,0.8973395518594502,days_since_last_login,D,Outgrown User,Free 30-Day Premium Tier Trial,PREMIUM_TRIAL,in-app + email,high,0.32,10.0,890.36,88.04,29.29,Low,0.7047400833333334,0.17097856666666666
CUST-000359,Enterprise,1669.14,1,0.8937857523809656,retention_risk_score,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,1432.18,2863.36,196.52,Low,0.6906087122369251,0.1746028786490231
CUST-001726,Starter,53.68,22,0.8874384673939801,customer_health_score,A,The Ghost,Re-Engagement Push Notification,PUSH_REENGAGEMENT,push + sms,high,0.15,0.1,85.75,856.5,6.75,Low,0.6554781765764829,0.21675952144155383
CUST-000117,Business,937.54,3,0.8858811850017614,customer_health_score,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,797.33,1593.66,119.65,Low,0.665238225272109,0.20838079634013595
CUST-001724,Starter,37.98,1,0.8856659158078536,customer_health_score,A,The Ghost,Re-Engagement Push Notification,PUSH_REENGAGEMENT,push + sms,high,0.15,0.1,60.55,604.5,4.86,Low,0.6645615354659766,0.21085949077416133
CUST-001022,Starter,70.16,4,0.8850663267895962,retention_risk_score,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,59.61,118.22,9.03,Low,0.6806158551591839,0.19326097380897939
CUST-000525,Business,976.38,13,0.8778439632641266,retention_risk_score,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,822.82,1644.64,134.59,Low,0.7215736666666667,0.15411160000000002
CUST-001799,Starter,30.47,20,0.8739969103007179,days_since_last_login,A,The Ghost,Re-Engagement Push Notification,PUSH_REENGAGEMENT,push + sms,high,0.15,0.1,47.94,478.4,4.35,Low,0.6809231151946369,0.1945589284331024
CUST-000446,Enterprise,1537.35,10,0.8732995880104947,days_since_last_login,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,1288.86,2576.72,220.93,Low,0.7191905833333334,0.15697129999999998
CUST-001240,Starter,60.37,28,0.8722168528095608,retention_risk_score,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,50.55,100.1,8.76,Low,0.6859886652604168,0.18014693502083312
CUST-000310,Starter,70.28,16,0.8687850705293846,engagement_decay_score,D,Outgrown User,Free 30-Day Premium Tier Trial,PREMIUM_TRIAL,in-app + email,high,0.32,10.0,234.46,22.45,10.51,Low,0.6820491141863906,0.18487439630966454
CUST-001895,Professional,228.1,34,0.8672286215654705,days_since_last_login,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,189.9,378.8,34.59,Low,0.6972132500000001,0.18501076666666666
CUST-001722,Starter,46.03,8,0.8643547438527751,days_since_last_login,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,38.19,75.38,7.15,Low,0.6952444131070967,0.18070670427148394
CUST-001489,Starter,71.88,13,0.8638426775173906,retention_risk_score,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,59.61,118.22,11.22,Low,0.7132808819526629,0.16072960832347116
CUST-001596,Professional,217.06,19,0.8634398953799023,days_since_last_login,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,179.92,358.84,34.0,Low,0.7021449965625003,0.175759337458333
CUST-001704,Professional,267.18,31,0.8605071530485482,retention_risk_score,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,220.71,440.42,42.9,Low,0.710114,0.17119653333333334
CUST-001072,Starter,53.98,9,0.860223838471204,days_since_last_login,A,The Ghost,Re-Engagement Push Notification,PUSH_REENGAGEMENT,push + sms,high,0.15,0.1,83.58,834.8,8.69,Low,0.7015500000000001,0.17980666666666664
CUST-001523,Starter,38.42,3,0.8595133095360772,support_ticket_sentiment,B,Frustrated Professional,Product Feedback Survey + Engineering Escalation,FEEDBACK_ESCALATION,in-app,medium,0.14,5.0,55.48,10.1,6.22,Low,0.7215170808020835,0.15084616970416642
CUST-001607,Starter,44.54,2,0.8578478207207622,retention_risk_score,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,36.68,72.36,7.31,Low,0.6955673687993099,0.17365249077416134
CUST-001464,Professional,231.76,1,0.8578158546568774,retention_risk_score,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,190.86,380.72,38.04,Low,0.6826680136548443,0.18579838361418674
CUST-000155,Enterprise,3473.53,1,0.8569506451104538,customer_health_score,C,Price-Sensitive Optimizer,Annual Plan Upgrade Incentive,ANNUAL_UPGRADE_INCENTIVE,email,low,0.16,5.0,5715.16,1142.03,574.25,Medium,0.6039615092258387,0.28524618892899356
CUST-001891,Starter,35.05,6,0.8558893765804261,days_since_last_login,B,Frustrated Professional,Product Feedback Survey + Engineering Escalation,FEEDBACK_ESCALATION,in-app,medium,0.14,5.0,50.4,9.08,5.84,Low,0.697503284684357,0.1746627250454384
CUST-000223,Starter,44.92,4,0.8557748517194778,retention_risk_score,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,36.9,72.8,7.5,Low,0.6927087487040001,0.17208283488853315
CUST-000835,Professional,276.54,39,0.8556275117755509,days_since_last_login,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,227.15,453.3,46.21,Low,0.6821749969625005,0.18639000364499944
CUST-001676,Starter,46.85,72,0.8549179415145202,days_since_last_login,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,38.45,75.9,7.87,Low,0.7030530833333333,0.1763363
CUST-000566,Professional,160.09,1,0.8540067668742694,retention_risk_score,B,Frustrated Professional,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,131.25,261.5,27.1,Low,0.7142890663190341,0.15451978708382583
CUST-000756,Business,500.99,9,0.8524098235899461,retention_risk_score,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,409.97,818.94,85.9,Low,0.7038350473900123,0.1703979431319852
CUST-001457,Professional,239.48,3,0.8515792164562845,days_since_last_login,A,The Ghost,Re-Engagement Push Notification,PUSH_REENGAGEMENT,push + sms,high,0.15,0.1,367.09,3669.9,41.33,Low,0.6961611933553878,0.1696065679735346
CUST-001380,Professional,137.41,6,0.8504009967650177,retention_risk_score,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,112.18,223.36,23.94,Low,0.6944402268467229,0.1750050611172658
CUST-001640,Enterprise,3364.49,65,0.8503907757377711,retention_risk_score,B,Frustrated Professional,Priority Support & CS Outreach,CS_PRIORITY_OUTREACH,phone + email,critical,0.28,25.0,9613.4,383.54,586.17,Medium,0.6178064300573413,0.28196561726452374
CUST-001307,Business,656.3,33,0.8494172872045737,days_since_last_login,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,535.17,1069.34,115.22,Low,0.706377163151042,0.16068073755208281
CUST-001621,Professional,124.21,37,0.8457036502211998,retention_risk_score,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,100.84,200.68,22.44,Low,0.6981069987500002,0.16893826816666652
CUST-001720,Starter,68.56,17,0.8448310233449576,days_since_last_login,A,The Ghost,Re-Engagement Push Notification,PUSH_REENGAGEMENT,push + sms,high,0.15,0.1,104.26,1041.6,12.47,Low,0.6938073288888894,0.18076453866666606
CUST-000498,Starter,75.55,1,0.8448255132687816,customer_health_score,B,Frustrated Professional,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,61.27,121.54,13.74,Low,0.6553648003878118,0.22689557286795917
CUST-001913,Enterprise,4411.97,5,0.8425397943439462,days_since_last_login,A,The Ghost,Re-Engagement Push Notification,PUSH_REENGAGEMENT,push + sms,high,0.15,0.1,6691.07,66909.7,816.47,Medium,0.6910083399900848,0.17912332534523154
CUST-000602,Starter,40.19,2,0.8423456309689804,customer_health_score,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,32.5,64.0,7.45,Low,0.6670604987040001,0.20286073488853318
CUST-001198,Enterprise,4200.56,15,0.8413373900171669,days_since_last_login,A,The Ghost,Re-Engagement Push Notification,PUSH_REENGAGEMENT,push + sms,high,0.15,0.1,6361.36,63612.6,784.39,Medium,0.714590662616667,0.1574912048599995
CUST-001940,Starter,53.53,22,0.8372967397893215,retention_risk_score,B,Frustrated Professional,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,43.03,85.06,10.3,Low,0.6592645833333333,0.2305491666666667
CUST-000964,Starter,45.77,69,0.8353014810731917,retention_risk_score,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,36.7,72.4,8.94,Low,0.7149804121306672,0.15369017210986602
CUST-001104,Enterprise,3903.01,13,0.834546897553914,customer_health_score,B,Frustrated Professional,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,3126.96,6252.92,766.14,Medium,0.5728944265764829,0.31586002144155384
CUST-001182,Starter,41.66,1,0.8330842962293932,support_ticket_sentiment,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,33.32,65.64,8.26,Low,0.7268187500000001,0.14448416666666664
CUST-001117,Starter,74.68,16,0.8313508767312504,days_since_last_login,D,Outgrown User,Free 30-Day Premium Tier Trial,PREMIUM_TRIAL,in-app + email,high,0.32,10.0,238.41,22.84,15.0,Low,0.7174592604240633,0.15404888749112405
CUST-001120,Starter,46.49,1,0.8300404701589806,retention_risk_score,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,37.05,73.1,9.42,Low,0.7154650833333334,0.15810856666666664
CUST-001055,Enterprise,3444.97,10,0.8290716341072814,retention_risk_score,B,Frustrated Professional,Priority Support & CS Outreach,CS_PRIORITY_OUTREACH,phone + email,critical,0.28,25.0,9596.59,382.86,703.18,Medium,0.689616249240625,0.17746050091124993
CUST-001173,Professional,265.42,3,0.8276525929809536,retention_risk_score,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,210.89,420.78,54.72,Low,0.6943652011625716,0.17842842527158076
CUST-000035,Enterprise,3734.9,49,0.8268059927023239,retention_risk_score,B,Frustrated Professional,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,2964.52,5928.04,774.56,Medium,0.7092071633333337,0.15895140399999957
CUST-000843,Starter,49.95,15,0.8264336607802433,support_ticket_sentiment,B,Frustrated Professional,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,39.63,78.26,10.39,Low,0.7158618678292383,0.15263242527158075
CUST-000199,Business,958.58,49,0.8238368032286993,retention_risk_score,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,758.12,1515.24,202.92,Low,0.7074217657966708,0.15609388104399505
CUST-001798,Starter,31.84,20,0.8237694519931028,support_sentiment,B,Frustrated Professional,Priority Support & CS Outreach,CS_PRIORITY_OUTREACH,phone + email,critical,0.28,25.0,88.13,2.53,6.74,Low,0.7504703333333334,0.1194356
CUST-000097,Professional,157.32,27,0.819247044243656,days_since_last_login,B,Frustrated Professional,Priority Support & CS Outreach,CS_PRIORITY_OUTREACH,phone + email,critical,0.28,25.0,433.05,16.32,34.36,Low,0.7050220192176877,0.16230691027210808
CUST-001342,Professional,229.6,34,0.8182721676762705,days_since_last_login,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,180.36,359.72,50.48,Low,0.6953188816953374,0.17728400863226182
CUST-001015,Business,955.51,43,0.8180329776317463,days_since_last_login,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,750.37,1499.74,210.4,Low,0.6976445218258505,0.1728265738089794
CUST-001115,Professional,174.24,22,0.8149810742081135,pricing_sensitivity_score,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,136.32,271.64,39.16,Low,0.7215627420898452,0.14245804282551908
CUST-001196,Business,465.64,1,0.8149236113975463,retention_risk_score,B,Frustrated Professional,Priority Support & CS Outreach,CS_PRIORITY_OUTREACH,phone + email,critical,0.28,25.0,1274.99,50.0,104.68,Low,0.6752097147243705,0.19474834233075544
CUST-001903,Business,850.79,22,0.8143854613326772,retention_risk_score,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,665.16,1329.32,191.95,Low,0.6934112349957486,0.17790651800510163
CUST-001587,Professional,168.7,25,0.8139556023677668,days_since_last_login,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,131.82,262.64,38.17,Low,0.7095324806646011,0.156894356535812
CUST-001933,Professional,263.5,26,0.8127864926114142,days_since_last_login,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,205.6,410.2,60.08,Low,0.7234625,0.15517833333333333
CUST-000113,Enterprise,3538.38,32,0.8127499070096126,days_since_last_login,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,2760.79,5520.58,806.94,Medium,0.7028645791145839,0.16656250506249937
CUST-000243,Enterprise,3448.56,74,0.8124331358822439,support_ticket_sentiment,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,2689.66,5378.32,788.09,Medium,0.75993125,0.11474916666666668
CUST-000141,Enterprise,2120.93,12,0.812365797797343,retention_risk_score,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,1654.05,3307.1,484.9,Low,0.6962993312239586,0.16944080253124968
CUST-000692,Professional,125.75,10,0.8110923566819719,days_since_last_login,A,The Ghost,Re-Engagement Push Notification,PUSH_REENGAGEMENT,push + sms,high,0.15,0.1,183.59,1834.9,28.99,Low,0.7150159442832412,0.16031420019344383
CUST-000960,Business,889.17,63,0.8054989703458958,customer_health_score,A,The Ghost,Recommended Content Campaign,CONTENT_CAMPAIGN,in-app + email,low,0.09,0.25,773.52,3093.08,212.51,Low,0.6454507861080337,0.23045905667035943
CUST-000473,Starter,61.62,15,0.8037566068039965,retention_risk_score,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,47.55,94.1,14.89,Low,0.7024486654801434,0.16206160142382797
CUST-001901,Professional,131.04,23,0.8001391476308706,retention_risk_score,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,100.66,200.32,32.39,Low,0.701204905592313,0.16688744662255772
CUST-001911,Starter,64.52,21,0.7997337905783571,retention_risk_score,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,49.53,98.06,15.99,Low,0.7147734513510235,0.15393852504543842
CUST-000165,Starter,51.24,1,0.7995251399600052,customer_health_score,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,39.33,77.66,12.72,Low,0.6710758320833337,0.1963756681666664
CUST-000314,Enterprise,3190.54,4,0.7982582001088703,retention_risk_score,B,Frustrated Professional,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,2445.0,4889.0,798.01,Medium,0.7101858560914073,0.15611030602364456
CUST-001924,Starter,76.5,4,0.7964580030026289,retention_risk_score,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,58.49,115.98,19.35,Low,0.7116402592258386,0.15603168892899358
CUST-000023,Starter,74.72,1,0.7948679646006572,days_since_last_login,B,Frustrated Professional,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,57.02,113.04,19.08,Low,0.7279420833333333,0.14980283333333333
CUST-000702,Starter,65.15,1,0.7945703147098794,days_since_last_login,A,The Ghost,Re-Engagement Push Notification,PUSH_REENGAGEMENT,push + sms,high,0.15,0.1,93.18,930.8,16.67,Low,0.7183855,0.15793739999999998
CUST-000793,Professional,206.63,20,0.7937968617570955,retention_risk_score,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,157.46,313.92,53.12,Low,0.7056578695385676,0.1665438898870522
CUST-000595,Business,988.43,1,0.7925393212554807,pricing_sensitivity_score,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,752.03,1503.06,256.05,Low,0.7394745761333348,0.11929717530666493
CUST-000933,Enterprise,1669.39,1,0.7916926622478592,retention_risk_score,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,1268.78,2536.56,434.67,Low,0.694689498888889,0.1697059346666665
CUST-001128,Professional,141.93,4,0.7905067629901203,friction_score,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,107.71,214.42,37.22,Low,0.7324989166666668,0.1360013
CUST-000092,Business,983.58,1,0.7897796497059479,retention_risk_score,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,745.74,1490.48,259.07,Low,0.6898643928236915,0.17716272861157012
CUST-000016,Starter,47.72,30,0.7895133261792914,support_ticket_sentiment,B,Frustrated Professional,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,36.17,71.34,12.59,Low,0.728556964056679,0.14073164313198516
CUST-001312,Business,908.27,32,0.7889119560707956,retention_risk_score,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,687.88,1374.76,240.48,Low,0.6945029461329202,0.16826313130716242
CUST-000998,Starter,43.7,46,0.7857891562958692,retention_risk_score,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,32.97,64.94,11.79,Low,0.7194781643523812,0.14829286944380926
CUST-000680,Business,697.61,11,0.7853178084549575,retention_risk_score,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,525.93,1050.86,188.7,Low,0.685282664866667,0.17932746882666623
CUST-000757,Professional,166.07,25,0.7848015974163621,retention_risk_score,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,125.12,249.24,45.06,Low,0.699012064451796,0.1628521893245115
CUST-001612,Professional,267.64,25,0.7827044341505167,days_since_last_login,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,201.1,401.2,73.52,Low,0.6711458300000004,0.20462500399999956
CUST-000569,Enterprise,2345.61,3,0.7822241649814551,retention_risk_score,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,1761.4,3521.8,646.15,Medium,0.7161105354659766,0.14900069077416134
CUST-000249,Enterprise,2918.25,6,0.78212872507559,customer_health_score,A,The Ghost,Re-Engagement Push Notification,PUSH_REENGAGEMENT,push + sms,high,0.15,0.1,4108.4,41083.0,804.34,Medium,0.6450074394430273,0.22932440600170054
CUST-000689,Business,436.63,50,0.781136174087749,retention_risk_score,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,327.42,653.84,121.05,Low,0.6995972657966708,0.16548328104399507
CUST-001902,Starter,29.39,1,0.7808022626588073,days_since_last_login,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,22.03,43.06,8.16,Low,0.7373572563945586,0.12517129232652968
CUST-001255,Professional,160.76,8,0.7800800119686698,retention_risk_score,B,Frustrated Professional,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,120.39,239.78,44.84,Low,0.70058,0.17763733333333337
CUST-001256,Professional,157.49,2,0.7800470297011978,retention_risk_score,A,The Ghost,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,117.94,234.88,43.94,Low,0.6863277017197279,0.1797400912696598
CUST-000855,Starter,38.59,19,0.7799259785629633,pricing_sensitivity_score,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,28.89,56.78,10.77,Low,0.7606554166666666,0.10721350000000002
CUST-001686,Business,738.94,1,0.7799219456313752,days_since_last_login,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,553.26,1105.52,206.31,Low,0.7120127854659767,0.15391799077416132
