customer_id,subscription_type,monthly_revenue,tenure_months,country,industry,sessions_30d,sessions_90d,days_since_last_login,days_since_last_core_action,login_frequency_change,session_duration_change,ticket_count,support_sentiment,error_rate,failed_api_calls,rage_click_count,billing_page_visits,downgrade_page_visits,invoice_download_frequency,trial_expiry_days,tier_capacity_utilization,export_frequency,api_usage,api_limit_usage,seat_limit_usage,churned
CUST-000015,Starter,69.52,19,Germany,E-Commerce,9,36,0,4,0.2405,-0.0633,0,-0.4984,0.0434,1,0,0,0,3,-1,0.0838,4,473,0.0473,0.189,0
CUST-000016,Starter,47.72,30,UK,HealthTech,9,29,3,4,0.1931,-0.3009,2,-1.0,0.3041,2,0,2,1,1,-1,0.2634,3,61,0.0061,0.3858,1
CUST-000017,Starter,40.57,24,US,HR Tech,4,28,9,14,-0.2584,0.3977,1,0.4078,0.0782,4,1,4,0,1,-1,0.3551,5,1300,0.13,0.7221,0
CUST-000018,Professional,245.97,21,Netherlands,FinTech,7,37,3,8,0.1957,-0.1651,1,0.4643,0.2635,1,1,0,2,0,-1,0.5086,3,346,0.0346,0.5688,0
CUST-000019,Professional,159.92,6,US,MarTech,14,38,8,15,-0.2508,0.1231,0,0.2656,0.3786,1,1,2,1,0,-1,0.3425,1,674,0.0674,0.05,0
CUST-000020,Starter,37.8,1,India,E-Commerce,4,23,3,10,-0.4831,-0.1177,2,-0.421,0.0254,0,0,0,0,0,-1,0.4698,2,1040,0.104,0.3867,0
CUST-000021,Professional,256.31,7,Singapore,MarTech,10,40,3,3,-0.1101,-0.1538,1,0.0765,0.0543,1,0,0,1,1,-1,0.6834,5,1057,0.1057,0.1363,0
CUST-000022,Starter,44.63,19,Germany,E-Commerce,12,40,5,9,0.3369,-0.4776,2,-0.0113,0.2268,1,1,1,0,1,-1,0.2092,4,1352,0.1352,0.9256,0
CUST-000023,Starter,74.72,1,Netherlands,E-Commerce,14,34,21,22,0.1968,0.1495,3,-0.1149,0.3323,2,0,0,0,2,-1,0.2065,3,521,0.0521,0.4168,1
CUST-000024,Starter,71.03,1,US,E-Commerce,6,28,0,9,-0.0005,0.3248,2,0.6648,0.0444,3,0,1,0,0,-1,0.107,2,501,0.0501,0.6688,0
CUST-000025,Professional,268.53,2,UK,PropTech,8,38,0,4,-0.125,-0.229,1,-0.3187,0.137,2,3,0,0,0,-1,0.2182,4,136,0.0136,0.8961,0
CUST-000026,Business,861.94,22,US,HR Tech,15,40,6,15,-0.1169,-0.3863,2,0.2264,0.0527,1,0,2,0,0,-1,0.5047,4,188,0.0188,0.5392,0
CUST-000027,Starter,73.04,64,Canada,HealthTech,10,29,20,28,0.0326,0.2008,1,0.5776,0.1031,2,1,1,0,2,-1,0.6516,2,462,0.0462,0.1002,0
CUST-000028,Professional,260.15,73,Singapore,HealthTech,12,37,32,35,-0.3205,-0.4116,0,0.2526,0.1161,4,0,1,0,0,-1,0.457,2,144,0.0144,0.6817,0
CUST-000029,Professional,219.5,12,US,MarTech,7,33,4,11,-0.1044,0.3049,1,0.5964,0.0357,1,0,1,0,1,-1,0.072,3,222,0.0222,0.503,0
CUST-000030,Starter,43.79,36,India,MarTech,9,50,4,4,-0.0647,-0.2261,1,0.3255,0.3886,2,0,0,1,0,-1,0.4895,3,90,0.009,0.0524,0
CUST-000031,Professional,276.64,24,US,E-Commerce,7,27,7,14,-0.4053,-0.2758,0,0.2717,0.0575,2,2,2,0,1,-1,0.3857,5,694,0.0694,0.0509,0
CUST-000032,Starter,71.03,12,Germany,PropTech,13,35,5,10,-0.2515,0.0621,3,0.2467,0.2053,1,1,2,0,3,-1,0.6579,4,498,0.0498,0.6812,0
CUST-000033,Starter,52.64,15,UK,E-Commerce,17,45,7,14,0.1232,-0.2595,2,0.3454,0.0885,3,2,1,0,1,-1,0.0642,2,643,0.0643,0.6448,0
CUST-000034,Enterprise,1636.78,2,Singapore,PropTech,3,33,14,19,0.0029,-0.1768,2,-0.0542,0.0578,3,1,4,0,0,-1,0.3675,3,294,0.0294,0.5214,0
CUST-000035,Enterprise,3734.9,49,France,E-Commerce,6,27,9,11,-0.0926,0.0885,1,-0.4207,0.4784,1,0,1,1,0,-1,0.4326,4,665,0.0665,0.2019,1
CUST-000036,Business,429.36,7,US,FinTech,9,39,4,11,-0.2734,-0.6073,0,0.4816,0.0538,6,0,1,0,0,-1,0.2196,5,313,0.0313,0.4013,0
CUST-000037,Starter,75.31,10,US,FinTech,17,40,4,8,0.4731,0.4106,2,0.5647,0.0701,0,0,0,0,2,-1,0.7066,0,380,0.038,0.3156,0
CUST-000038,Starter,77.08,20,US,EdTech,10,33,7,16,-0.2514,0.0109,2,0.2008,0.1184,4,2,0,1,0,-1,0.1206,3,68,0.0068,0.4354,0
CUST-000039,Professional,136.9,7,US,E-Commerce,5,25,4,8,0.0755,-0.3232,2,-0.1194,0.0731,1,1,1,0,1,-1,0.1681,6,18,0.0018,0.1449,0
CUST-000040,Professional,234.28,5,US,HR Tech,1,20,4,10,-0.1464,-0.2543,0,-0.5231,0.3046,1,0,0,1,0,-1,0.5242,3,683,0.0683,0.5015,1
CUST-000041,Starter,33.61,17,Brazil,EdTech,8,30,0,5,0.0109,0.2479,0,0.1343,0.1954,2,3,1,1,2,-1,0.6658,6,1106,0.1106,0.3046,0
CUST-000042,Professional,244.9,1,Germany,MarTech,2,25,1,9,0.1373,0.1503,1,-0.4396,0.2233,3,2,1,0,1,-1,0.2752,2,223,0.0223,0.4098,0
CUST-000043,Starter,46.36,22,Germany,Other,13,37,4,10,-0.4111,0.3467,1,-0.4956,0.0072,2,1,0,0,0,-1,0.4063,3,938,0.0938,0.8141,0
CUST-000044,Enterprise,3883.68,12,US,E-Commerce,10,31,12,14,-0.002,-0.1707,2,0.0917,0.0858,3,0,0,0,2,-1,0.2078,2,161,0.0161,0.6431,0
CUST-000045,Starter,47.64,16,Brazil,FinTech,6,26,2,6,0.3572,0.0741,2,-0.2055,0.3142,2,2,1,1,0,-1,0.3613,2,658,0.0658,0.652,0
CUST-000046,Professional,128.11,17,Canada,Other,7,35,5,13,0.5285,0.1066,2,0.2381,0.073,1,1,1,1,1,-1,0.3128,4,436,0.0436,0.1111,0
CUST-000047,Starter,49.31,13,US,PropTech,14,37,2,11,-0.039,0.1738,1,0.0363,0.0126,1,0,1,0,1,-1,0.106,2,17,0.0017,0.4591,0
CUST-000048,Professional,121.53,15,India,Other,6,35,0,1,0.0125,0.2818,0,-0.1427,0.0973,1,0,1,0,0,-1,0.5075,1,138,0.0138,0.0703,0
CUST-000049,Professional,214.38,20,Germany,HR Tech,3,20,22,22,0.6634,-0.1793,0,-0.582,0.0497,3,2,0,2,1,-1,0.4687,4,495,0.0495,0.5062,0
CUST-000050,Starter,31.05,25,US,E-Commerce,8,20,13,20,0.3405,-0.0285,4,-0.2412,0.2184,6,2,0,0,2,-1,0.2036,2,116,0.0116,0.297,1
CUST-000051,Enterprise,3345.62,23,UK,HealthTech,9,26,0,7,-0.1852,-0.1525,0,-0.2265,0.1319,2,2,1,1,0,-1,0.2925,5,445,0.0445,0.5909,1
CUST-000052,Business,930.82,36,Germany,Other,16,46,8,9,-0.1857,-0.0132,2,-0.3901,0.0931,1,0,3,0,2,-1,0.5073,2,613,0.0613,0.4658,0
CUST-000053,Enterprise,4432.56,3,US,HealthTech,5,40,2,9,0.287,0.1746,0,-0.0316,0.1033,3,0,3,0,0,-1,0.3974,1,212,0.0212,0.2274,1
CUST-000054,Business,928.67,9,Singapore,PropTech,3,32,36,40,-0.3033,-0.4135,1,-0.3589,0.0524,1,2,3,0,3,-1,0.5992,3,587,0.0587,0.1345,1
CUST-000055,Professional,283.41,53,Brazil,EdTech,2,38,2,3,0.3263,0.2773,0,0.0345,0.2902,5,2,3,0,1,-1,0.1857,4,514,0.0514,0.1862,0
CUST-000056,Enterprise,1865.85,9,India,HealthTech,4,27,1,7,0.1003,-0.2848,1,0.1962,0.0635,1,2,3,0,0,-1,0.7585,6,2183,0.2183,0.1589,0
CUST-000057,Starter,35.44,2,UK,EdTech,8,24,5,11,0.1553,-0.0768,4,-0.2305,0.1765,2,0,0,0,0,-1,0.3801,3,476,0.0476,0.4469,0
CUST-000058,Starter,56.85,13,UK,FinTech,4,31,12,14,-0.077,0.311,0,0.2702,0.3775,3,0,2,0,2,-1,0.1659,3,161,0.0161,0.8249,0
CUST-000059,Starter,73.7,2,India,E-Commerce,12,36,1,1,-0.1889,0.082,1,-0.4445,0.0409,0,1,1,0,1,-1,0.1706,1,141,0.0141,0.5286,0
CUST-000060,Starter,77.72,4,Germany,Other,4,26,8,11,0.4386,0.0849,2,-0.3449,0.0179,4,2,2,0,1,-1,0.1856,3,538,0.0538,0.5751,0
CUST-000061,Starter,31.31,84,US,FinTech,7,35,0,1,-0.074,-0.2952,1,0.0547,0.1084,2,2,2,0,1,-1,0.4251,2,54,0.0054,0.1464,1
CUST-000062,Starter,46.79,14,Germany,FinTech,13,32,17,20,-0.1233,-0.261,2,0.3748,0.0486,3,2,1,0,1,-1,0.3277,2,128,0.0128,0.7372,0
CUST-000063,Business,526.74,6,Australia,Legal Tech,4,29,0,7,-0.024,0.2353,3,0.447,0.1178,4,0,1,0,0,-1,0.5101,3,4,0.0004,0.05,0
CUST-000064,Starter,66.8,84,UK,SaaS,7,38,17,18,0.0579,-0.1473,27,0.745,0.0807,2,1,13,1,1,-1,0.5291,4,358,0.0358,0.7855,1
CUST-000065,Starter,61.01,61,US,HR Tech,6,39,4,4,-0.3092,-0.1237,1,-0.0506,0.0254,1,0,2,0,0,-1,0.5274,3,770,0.077,0.0525,0
CUST-000066,Professional,122.98,10,Australia,EdTech,3,36,4,6,-0.1695,0.241,1,0.049,0.418,3,0,0,0,1,-1,0.2602,3,357,0.0357,0.1582,0
CUST-000067,Starter,53.18,5,US,Legal Tech,7,31,25,34,-0.1854,-0.2625,0,-0.3131,0.2205,0,1,0,1,0,-1,0.1928,3,168,0.0168,0.5027,0
CUST-000068,Business,810.26,32,US,SaaS,7,37,32,38,0.2536,0.0673,3,-0.4015,0.0996,3,2,0,0,1,-1,0.4093,4,909,0.0909,0.1544,1
CUST-000069,Starter,67.95,22,US,HR Tech,10,33,7,12,-0.2658,0.0107,1,0.1914,0.0243,0,0,1,1,0,-1,0.1259,3,331,0.0331,0.5573,0
CUST-000070,Enterprise,1570.18,20,US,EdTech,16,45,0,5,-0.5267,-0.0007,3,-0.2103,0.1057,3,1,3,2,2,-1,0.2959,2,585,0.0585,0.357,0
CUST-000071,Business,933.28,40,Canada,E-Commerce,9,36,4,10,-0.5901,-0.1296,1,0.593,0.123,1,1,1,0,0,-1,0.0847,0,2151,0.2151,0.5665,0
CUST-000072,Starter,57.46,21,Germany,HR Tech,3,40,5,12,-0.4411,-0.145,1,-0.485,0.0828,2,1,1,0,2,-1,0.5814,3,840,0.084,0.2029,1
CUST-000073,Starter,69.6,6,US,Other,8,30,5,7,0.4085,-0.2696,0,0.2945,0.0861,2,1,1,1,1,-1,0.7812,3,950,0.095,0.3535,0
CUST-000074,Business,883.76,21,Brazil,FinTech,2,34,5,7,0.0049,0.1207,1,-0.3023,0.1189,2,1,3,0,0,-1,0.6809,5,64,0.0064,0.2698,0
CUST-000075,Business,512.91,6,Brazil,SaaS,6,22,0,9,0.1504,-0.167,4,-0.2282,0.032,5,0,1,0,1,-1,0.8562,3,388,0.0388,0.05,0
CUST-000076,Business,465.1,25,Brazil,SaaS,11,37,8,15,0.1609,0.2422,2,0.3156,0.2875,1,0,3,0,0,-1,0.3871,3,2910,0.291,0.4527,1
CUST-000077,Business,831.77,17,US,SaaS,4,30,8,14,0.0169,-0.0561,3,-0.1704,0.0579,2,0,0,0,0,-1,0.4698,1,195,0.0195,0.1679,0
CUST-000078,Starter,36.82,1,UK,EdTech,14,40,0,9,-0.0224,-0.2646,1,-0.1063,0.0789,0,0,1,0,0,-1,0.3986,2,21,0.0021,0.5149,0
CUST-000079,Starter,71.5,12,Singapore,Other,13,33,5,9,0.3134,-0.0595,0,-0.2249,0.0755,2,0,2,0,1,-1,0.8277,1,17,0.0017,0.3262,1
CUST-000080,Starter,65.31,7,Canada,HR Tech,12,35,5,8,0.0438,-0.1027,2,0.814,0.0845,1,0,1,0,0,-1,0.6244,7,1924,0.1924,0.5744,0
CUST-000081,Business,904.1,7,US,FinTech,5,33,8,13,0.4197,0.2523,1,-0.147,0.334,4,0,0,1,1,-1,0.5398,5,284,0.0284,0.05,0
CUST-000082,Professional,158.8,16,US,Other,7,28,0,8,0.1862,-0.0923,2,0.1206,0.1669,3,2,2,0,0,-1,0.8909,5,167,0.0167,0.3056,0
CUST-000083,Starter,44.83,7,UK,Legal Tech,14,36,6,11,-0.1853,-0.0691,1,0.0192,0.1734,2,1,2,1,2,-1,0.8781,2,360,0.036,0.3743,0
CUST-000084,Starter,62.56,27,Netherlands,E-Commerce,5,30,2,9,-0.1491,0.3529,2,0.1886,0.0681,1,0,3,0,1,-1,0.7764,2,471,0.0471,0.2956,0
CUST-000085,Starter,30.57,1,Germany,HealthTech,4,13,4,4,-0.2182,0.1271,2,-0.1459,0.1136,0,0,0,1,1,-1,0.0819,2,1063,0.1063,0.0654,0
CUST-000086,Starter,65.32,19,Germany,Other,2,41,10,15,0.3653,0.4157,0,0.0197,0.0162,3,0,2,0,1,-1,0.1584,8,292,0.0292,0.0583,0
CUST-000087,Business,900.47,29,US,Legal Tech,1,20,8,9,-0.1215,0.3148,0,0.2576,0.1203,2,2,2,1,2,-1,0.1896,1,958,0.0958,0.05,0
CUST-000088,Professional,182.03,20,India,FinTech,10,29,0,2,-0.2395,-0.2218,2,-0.2452,0.247,4,1,1,1,0,-1,0.2068,0,150,0.015,0.0573,1
CUST-000089,Business,857.93,12,Australia,HealthTech,12,37,6,11,0.0959,0.2475,2,0.5357,0.0415,2,0,2,1,1,-1,0.066,5,397,0.0397,0.3941,0
CUST-000090,Professional,133.92,54,UK,HealthTech,9,27,24,25,-0.0292,0.3813,2,0.5742,0.0852,4,1,1,0,1,-1,0.581,5,760,0.076,0.583,0
CUST-000091,Starter,45.11,6,Canada,Other,13,34,1,4,0.0884,0.3832,3,0.3426,0.1101,4,1,2,1,0,-1,0.1203,1,292,0.0292,0.1302,1
CUST-000092,Business,983.58,1,Singapore,SaaS,3,33,13,18,0.5669,0.247,2,0.128,0.2212,2,1,2,1,1,-1,0.3511,3,162,0.0162,0.719,1
CUST-000093,Business,990.8,10,US,MarTech,4,27,8,12,0.2739,0.2419,1,-1.0,0.1222,1,1,0,0,1,-1,0.3523,4,827,0.0827,0.6784,0
CUST-000094,Professional,201.52,1,Germany,FinTech,15,40,10,15,0.0081,-0.0757,2,0.2697,0.1255,2,0,0,1,1,-1,0.6547,3,823,0.0823,0.2326,0
CUST-000095,Business,959.56,55,US,SaaS,3,28,2,7,-0.4225,-0.2093,2,-0.0565,0.146,0,3,2,0,1,-1,0.5238,4,165,0.0165,0.5332,0
CUST-000096,Professional,203.55,4,Australia,FinTech,7,23,2,9,-0.15,-0.0881,1,0.0015,0.2062,1,1,1,0,0,-1,0.6713,4,464,0.0464,0.3993,0
CUST-000097,Professional,157.32,27,France,MarTech,5,21,16,24,0.2133,-0.4162,3,-0.659,0.053,4,0,0,1,0,-1,0.2932,4,141,0.0141,0.6076,1
CUST-000098,Professional,152.38,26,France,E-Commerce,4,42,3,7,-0.3513,0.3357,0,0.2974,0.0286,0,3,2,1,1,-1,0.5062,2,1133,0.1133,0.3588,0
CUST-000099,Starter,75.48,4,Australia,MarTech,5,35,0,5,0.6423,-0.0708,3,-0.4794,0.181,0,0,1,0,0,-1,0.4354,0,39,0.0039,0.2838,0
CUST-000100,Starter,37.62,17,UK,PropTech,7,28,6,11,0.0043,0.3228,1,0.1474,0.0969,2,3,2,1,1,-1,0.7042,3,240,0.024,0.1935,0
CUST-000101,Starter,57.98,1,Netherlands,Other,12,33,0,5,0.0147,-0.3079,1,0.4619,0.0102,0,1,1,0,1,-1,0.6721,3,525,0.0525,0.9024,0
CUST-000102,Professional,210.11,11,Germany,Other,14,45,11,12,-0.2,0.2707,1,-0.0877,0.0251,0,1,0,0,0,-1,0.3547,3,983,0.0983,0.1776,0
CUST-000103,Starter,65.98,1,US,Legal Tech,8,28,7,10,0.149,-0.1237,1,0.5864,0.0457,3,2,0,0,0,-1,0.6994,2,793,0.0793,0.2747,1
CUST-000104,Professional,198.85,45,India,SaaS,10,42,14,14,-0.3474,-0.3211,0,-0.1988,0.107,0,1,1,1,1,-1,0.6511,4,576,0.0576,0.3813,0
CUST-000105,Enterprise,2453.0,67,Australia,Legal Tech,8,47,10,10,0.6495,0.4068,1,0.3402,0.265,3,0,1,0,2,-1,0.4289,3,1302,0.1302,0.6795,0
CUST-000106,Starter,37.47,4,US,PropTech,3,33,0,0,0.3952,0.2768,1,-0.4219,0.0604,1,0,0,0,0,-1,0.4664,2,12,0.0012,0.1206,0
CUST-000107,Professional,223.16,4,Brazil,MarTech,6,29,3,9,0.2953,0.0529,4,0.5125,0.1144,1,1,2,1,0,-1,0.5017,4,1943,0.1943,0.5759,1
CUST-000108,Business,830.39,25,Netherlands,Other,2,29,10,10,-0.4171,0.0085,0,0.4504,0.1923,6,0,2,1,1,-1,0.5735,2,212,0.0212,0.2152,0
CUST-000109,Starter,57.48,5,US,EdTech,5,35,3,8,0.0616,0.1099,2,0.2873,0.1158,3,0,2,0,3,-1,0.6174,2,689,0.0689,0.7554,0
CUST-000110,Starter,65.92,40,Singapore,MarTech,7,32,25,26,0.3627,0.0487,0,-0.0573,0.0014,1,0,2,0,0,-1,0.6886,1,163,0.0163,0.4246,1
CUST-000111,Starter,36.08,15,US,MarTech,6,28,9,14,0.1779,-0.1981,3,-0.4608,0.3162,1,0,2,0,0,-1,0.516,2,267,0.0267,0.1446,1
CUST-000112,Starter,73.12,7,US,PropTech,2,32,0,5,-0.3006,-0.103,1,-0.0563,0.0724,0,1,0,0,1,-1,0.1615,4,1043,0.1043,0.2869,1
CUST-000113,Enterprise,3538.38,32,US,E-Commerce,6,24,14,16,-0.195,0.4902,3,0.5441,0.1151,2,1,2,2,1,-1,0.2339,4,297,0.0297,0.2191,1
CUST-000114,Business,475.11,12,Netherlands,FinTech,9,36,0,7,-0.1356,0.668,0,0.152,0.1054,2,1,3,0,0,-1,0.4042,2,1080,0.108,0.2659,0
CUST-000115,Professional,191.39,43,India,PropTech,3,35,1,4,-0.181,0.3907,2,-0.5212,0.0268,2,0,0,0,0,-1,0.687,6,398,0.0398,0.7155,0
CUST-000116,Business,905.88,47,US,FinTech,14,35,9,15,0.4586,0.1196,2,-0.3499,0.1086,2,0,1,0,1,-1,0.5094,2,153,0.0153,0.4719,1
CUST-000117,Business,937.54,3,UK,Other,4,42,14,17,-0.5763,-0.0844,2,0.6013,0.1163,2,0,4,1,1,-1,0.4672,3,333,0.0333,0.543,1
CUST-000118,Starter,42.23,1,France,PropTech,12,34,5,5,0.1968,-0.1995,4,0.2952,0.1523,0,1,0,0,2,-1,0.3197,3,46,0.0046,0.1559,0
CUST-000119,Business,825.76,74,US,FinTech,1,20,2,7,-0.3877,-0.1831,2,-0.3936,0.1078,3,3,3,2,0,-1,0.1547,5,325,0.0325,0.3299,1
CUST-000120,Professional,119.0,42,Netherlands,Legal Tech,12,33,3,7,-0.2884,-0.1383,18,-0.6063,0.1448,3,1,16,0,1,-1,0.6391,3,774,0.0774,0.2442,0
CUST-000121,Business,419.13,1,Australia,PropTech,2,33,2,10,-0.6029,0.5378,2,-0.15,0.3374,5,1,1,1,0,-1,0.5683,3,35,0.0035,0.3054,0
CUST-000122,Business,735.24,32,Germany,Other,12,36,2,10,-0.1647,0.4516,1,-0.6405,0.0255,3,1,0,1,1,-1,0.5518,3,132,0.0132,0.0679,0
CUST-000123,Starter,63.74,11,Singapore,PropTech,6,32,1,8,0.4532,0.1866,1,0.0377,0.0952,1,2,1,0,1,-1,0.4875,1,274,0.0274,0.1491,0
CUST-000124,Starter,68.79,5,UK,Other,10,30,6,12,0.0794,-0.2402,3,1.0,0.0541,1,2,2,0,0,-1,0.4604,1,709,0.0709,0.6915,0
CUST-000125,Starter,46.01,37,Singapore,PropTech,5,28,16,17,-0.3595,0.2233,3,-0.5388,0.2166,0,0,0,0,1,-1,0.1106,1,695,0.0695,0.3781,0
CUST-000126,Professional,100.31,3,India,FinTech,2,26,2,9,0.3051,-0.0597,1,0.0256,0.0607,2,0,1,1,0,-1,0.4232,4,1091,0.1091,0.869,0
CUST-000127,Business,686.71,52,France,E-Commerce,13,40,1,3,0.3694,-0.5383,2,0.6248,0.0055,2,1,1,1,2,-1,0.4975,1,78,0.0078,0.1455,0
CUST-000128,Business,408.51,4,US,HR Tech,2,30,12,17,0.0312,0.0718,1,0.3996,0.0666,2,1,0,0,0,-1,0.5648,2,84,0.0084,0.2832,1
CUST-000129,Starter,33.6,17,Netherlands,FinTech,12,31,9,18,0.6104,-0.2105,3,0.0405,0.0216,1,1,2,0,0,-1,0.1494,2,552,0.0552,0.793,1
CUST-000130,Professional,164.34,4,UK,SaaS,3,39,18,24,0.2465,-0.202,1,0.0415,0.0988,3,0,1,0,0,-1,0.1908,8,99,0.0099,0.6669,0
CUST-000131,Professional,186.43,14,US,HealthTech,10,42,1,6,0.2048,-0.0626,1,-0.3624,0.1221,3,0,0,0,0,-1,0.0841,4,267,0.0267,0.2494,0
CUST-000132,Starter,42.97,20,US,E-Commerce,9,30,1,5,-0.241,-0.1246,2,-0.0071,0.1168,1,1,0,0,0,-1,0.468,3,387,0.0387,0.5775,0
CUST-000133,Starter,58.09,3,Germany,Legal Tech,5,24,5,8,0.1882,-0.0086,2,0.1974,0.1475,4,1,2,0,0,-1,0.3975,1,148,0.0148,0.3587,1
CUST-000134,Starter,31.77,13,Germany,MarTech,4,28,6,7,0.065,-0.0206,1,0.542,0.0343,3,2,0,1,1,-1,0.4556,0,588,0.0588,0.3796,0
CUST-000135,Enterprise,2006.03,11,India,FinTech,9,28,4,12,0.1559,-0.469,2,-0.1481,0.0502,4,0,2,0,2,-1,0.6142,2,975,0.0975,0.5376,1
CUST-000136,Starter,63.76,1,Netherlands,PropTech,8,23,6,12,-0.2054,0.3801,0,0.0241,0.1668,3,1,2,0,2,-1,0.5308,8,6,0.0006,0.3262,0
CUST-000137,Professional,127.43,30,US,FinTech,13,34,1,7,0.0384,-0.2458,1,-0.2797,0.0859,2,0,1,1,1,-1,0.1307,1,170,0.017,0.454,0
CUST-000138,Business,782.87,7,Canada,EdTech,6,34,4,7,-0.2451,-0.2381,3,0.1901,0.125,1,0,0,0,0,-1,0.4196,4,622,0.0622,0.424,0
CUST-000139,Starter,31.73,15,US,E-Commerce,9,39,7,11,-0.6441,-0.0821,3,0.4135,0.1413,4,0,2,1,0,-1,0.3227,1,161,0.0161,0.1641,0
CUST-000140,Enterprise,2925.84,13,Brazil,HR Tech,6,35,3,8,0.2995,-0.0271,1,0.3519,0.1702,5,1,1,0,0,-1,0.3376,1,370,0.037,0.0927,0
CUST-000141,Enterprise,2120.93,12,Australia,Legal Tech,3,24,7,8,-0.4507,0.3647,1,-0.3681,0.0508,5,0,0,2,1,-1,0.3891,3,706,0.0706,0.2061,1
CUST-000142,Starter,34.48,2,Germany,EdTech,12,38,4,7,0.0322,0.0674,1,0.1587,0.0668,2,0,0,0,1,-1,0.3858,2,210,0.021,0.2081,0
CUST-000143,Professional,212.41,9,India,Other,6,33,2,5,0.0999,0.1416,2,-0.1709,0.2728,1,0,0,0,0,-1,0.5028,2,774,0.0774,0.3856,0
CUST-000144,Starter,75.42,10,US,EdTech,5,24,2,5,0.098,0.0686,2,0.5044,0.1964,2,0,1,0,0,-1,0.054,3,846,0.0846,0.4033,0
CUST-000145,Starter,31.74,23,Germany,FinTech,7,36,3,9,-0.0849,0.0579,3,0.0355,0.0124,2,0,1,0,0,-1,0.4286,4,2360,0.236,0.1426,0
CUST-000146,Starter,50.08,32,Australia,Legal Tech,9,29,0,6,0.0814,0.0774,1,-0.5078,0.3263,3,0,1,0,0,-1,0.1132,3,283,0.0283,0.4636,0
CUST-000147,Professional,240.51,14,UK,FinTech,9,24,7,13,0.1413,-0.4832,1,0.0121,0.3923,2,1,0,1,1,-1,0.5979,5,322,0.0322,0.2002,0
CUST-000148,Professional,191.54,1,UK,Other,13,44,13,19,0.2205,-0.0625,2,0.2834,0.0512,1,0,2,0,2,-1,0.8578,1,763,0.0763,0.2551,0
CUST-000149,Starter,69.32,4,Germany,MarTech,9,40,3,4,0.52,0.2906,0,0.1976,0.0056,3,1,0,1,2,-1,0.6519,4,1012,0.1012,0.3846,0
CUST-000150,Starter,37.98,3,Australia,Legal Tech,10,31,0,4,0.0703,0.9856,1,-0.1047,0.2149,1,1,1,0,0,-1,0.255,3,351,0.0351,0.2203,0
